datetime,PM2.5,PM10,O3,CO,NO2
2021-12-12 19:00:00,24,61,4.0,1.61,49.0
2021-12-12 20:00:00,27,58,4.0,1.53,54.0
2021-12-12 21:00:00,26,59,4.0,1.5,53.0
2021-12-12 22:00:00,32,69,4.0,1.5,48.0
2021-12-12 23:00:00,36,74,4.0,1.35,49.0
2021-12-13 00:00:00,32,74,4.0,0.86,33.0
2021-12-13 01:00:00,26,76,4.0,0.69,26.0
2021-12-13 02:00:00,23,76,4.0,0.55,21.0
2021-12-13 03:00:00,20,67,4.0,0.5,22.0
2021-12-13 04:00:00,19,65,4.0,0.73,32.0
2021-12-13 05:00:00,19,66,4.0,1.0,38.0
2021-12-13 06:00:00,25,66,4.0,1.0,38.0
2021-12-13 07:00:00,33,64,4.0,1.37,36.0
2021-12-13 08:00:00,28,64,4.0,1.01,37.0
2021-12-13 09:00:00,25,64,4.0,0.79,30.0
2021-12-13 10:00:00,25,62,4.0,0.67,26.0
2021-12-13 11:00:00,23,62,4.0,0.68,33.0
2021-12-13 12:00:00,23,59,4.0,0.66,33.0
2021-12-13 13:00:00,24,59,4.0,0.74,38.0
2021-12-13 14:00:00,31,62,4.0,0.81,33.0
2021-12-13 15:00:00,34,64,4.0,0.99,40.0
2021-12-13 16:00:00,29,58,4.0,1.18,51.0
2021-12-13 17:00:00,28,60,4.0,1.3,59.0
2021-12-13 18:00:00,22,62,4.0,1.38,52.0
2021-12-13 19:00:00,18,65,4.0,1.37,49.0
2021-12-13 20:00:00,22,71,4.0,1.17,46.0
2021-12-13 21:00:00,30,69,4.0,0.98,41.0
2021-12-13 22:00:00,32,68,4.0,1.15,49.0
2021-12-13 23:00:00,31,68,4.0,1.03,43.0
2021-12-14 00:00:00,34,72,4.0,0.95,37.0
2021-12-14 01:00:00,38,81,4.0,0.8,32.0
2021-12-14 02:00:00,36,92,4.0,0.86,41.0
2021-12-14 03:00:00,37,105,4.0,0.83,42.0
2021-12-14 04:00:00,45,114,4.0,1.13,49.0
2021-12-14 05:00:00,47,128,4.0,1.13,49.0
2021-12-14 06:00:00,52,139,4.0,1.88,54.0
2021-12-14 07:00:00,59,143,4.0,2.72,61.0
2021-12-14 08:00:00,59,145,4.0,2.14,60.0
2021-12-14 09:00:00,58,135,4.0,1.94,64.0
2021-12-14 10:00:00,55,131,17.0,1.63,69.0
2021-12-14 11:00:00,54,130,15.0,1.38,73.0
2021-12-14 12:00:00,51,122,18.0,1.32,75.0
2021-12-14 13:00:00,48,118,30.0,1.38,70.0
2021-12-14 14:00:00,51,116,31.0,1.42,61.0
2021-12-14 15:00:00,50,106,26.0,1.45,59.0
2021-12-14 16:00:00,45,96,35.0,1.25,57.0
2021-12-14 17:00:00,40,90,23.0,1.54,56.0
2021-12-14 18:00:00,35,83,13.0,1.66,56.0
2021-12-14 19:00:00,29,80,14.0,1.78,53.0
2021-12-14 20:00:00,29,79,4.0,2.13,51.0
2021-12-14 21:00:00,32,82,3.0,2.06,45.0
2021-12-14 22:00:00,41,89,2.0,1.93,41.0
2021-12-14 23:00:00,47,98,2.0,1.73,37.0
2021-12-15 00:00:00,50,110,2.0,1.8,37.0
2021-12-15 01:00:00,50,126,2.0,1.52,34.0
2021-12-15 02:00:00,50,147,2.0,1.38,31.0
2021-12-15 03:00:00,52,161,2.0,1.42,29.0
2021-12-15 04:00:00,55,168,2.0,1.42,29.0
2021-12-15 05:00:00,59,171,2.0,1.93,29.0
2021-12-15 06:00:00,64,165,2.0,2.45,30.0
2021-12-15 07:00:00,67,156,3.0,2.69,31.0
2021-12-15 08:00:00,65,150,4.0,2.12,34.0
2021-12-15 09:00:00,61,144,6.0,2.0,37.0
2021-12-15 10:00:00,56,135,9.0,1.72,41.0
2021-12-15 11:00:00,58,127,18.0,1.45,46.0
2021-12-15 12:00:00,61,117,16.0,1.52,50.0
2021-12-15 13:00:00,57,109,30.0,1.27,52.0
2021-12-15 14:00:00,55,105,36.0,1.16,55.0
2021-12-15 15:00:00,51,97,36.0,1.15,58.0
2021-12-15 16:00:00,45,90,27.0,1.43,62.0
2021-12-15 17:00:00,39,87,13.0,1.94,62.0
